"X","SampleName","SampleType","Position","MethodName","MethodPath","SamplePath","DataName","Type","Dilution","Volume","Size","QuantWeight","TotalWeight","Date","File","Q.P.IS","I.S.PA","Q.P.Etizolam","PA","ratio","ValuesPositive","CorrectedConcentration","ConcentrationMg","SampleTotal","EtizolamPercentage","TotalEtizolam"
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
62,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223009,"Blank",NA,NA,NA,NA,NA,240223,"220223027.csv",390.351,5470192.209,390.351,NA,NA,NA,NA,NA,NA,NA,NA
63,"day 3 test 2","Card",18,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223010,"Sample",1,2.5,10,NA,NA,240223,"220223028.csv",367.22202,NA,614.9388,4905649.074,NA,NA,NA,NA,NA,NA,NA
64,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223011,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
66,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223013,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"day 3 test 4","Paper",20,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223014,"Sample",1,2.5,10,NA,NA,240223,"220223016.csv",390.64302,5418706.44,390.64302,NA,NA,NA,NA,NA,NA,NA,NA
68,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223015,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"day 3 test 5","Paper",21,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223016,"Sample",1,2.5,10,NA,NA,240223,"220223018.csv",367.506,NA,615.5088,8002836.259,NA,NA,NA,NA,NA,NA,NA
70,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223017,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"40ug/mL Etizolam Check standard","Check Standard",9,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223010,"Sample",NA,NA,NA,NA,NA,220223,"220223010.csv",390.366,5449628.071,614.0832,1944533.358,0.356819462,40.3502117080396,NA,NA,NA,NA,NA
12,"125ug/mL Etizolam Check standard","Check Standard",10,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223012,"Sample",NA,NA,NA,NA,NA,220223,"220223012.csv",390.357,5522860.741,616.0752,10611657.55,1.921405961,122.817325985444,NA,NA,NA,NA,NA
14,"day 1 test 1","Card",11,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223014,"Sample",1,2.5,10,NA,NA,220223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5414983931792,34.5414983931792,0.0345414983931792,0.0863537459829479,NA,NA
20,"day 1 test 4","Paper",14,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223020,"Sample",1,2.5,10,NA,NA,220223,"220223020.csv",390.64398,5338456.355,615.504,6430360.493,1.204535556,86.1838374230465,86.1838374230465,0.0861838374230465,0.215459593557616,NA,NA
24,"day 1 test 6","Paper",16,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223024,"Sample",1,2.5,10,NA,NA,220223,"220223024.csv",390.36498,5707596.412,614.6538,3300825.352,0.578321436,52.6159051466036,52.6159051466036,0.0526159051466036,0.131539762866509,NA,NA
33,"day 2 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223008,"Sample",1,2.5,10,NA,NA,230223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
37,"day 2 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223012,"Sample",1,2.5,10,NA,NA,230223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
43,"day 2 test 6","Card",22,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223018,"Sample",1,2.5,10,NA,NA,230223,"220223020.csv",390.64398,5338456.355,615.504,6430360.493,1.204535556,86.1564989794761,86.1564989794761,0.0861564989794761,0.21539124744869,NA,NA
47,"day 2 test 8","Card",24,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223022,"Sample",1,2.5,10,NA,NA,230223,"220223024.csv",390.36498,5707596.412,614.6538,3300825.352,0.578321436,52.5977597207423,52.5977597207423,0.0525977597207423,0.131494399301856,NA,NA
53,"125ug/mL Check Standard","Check Standard",27,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",230223028,"Sample",NA,NA,NA,NA,NA,230223,"220223046.csv",390.363,5458078.746,616.0812,10835972.94,1.985309016,125.959552585981,NA,NA,NA,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
61,"day 3 test 1","Paper",17,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223008,"Sample",1,2.5,10,NA,NA,240223,"220223026.csv",390.35598,5166383.812,614.931,4981381.031,0.96419105,73.4613720144445,73.4613720144445,0.0734613720144445,0.183653430036111,NA,NA
62,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223009,"Blank",NA,NA,NA,NA,NA,240223,"220223027.csv",390.351,5470192.209,390.351,NA,NA,NA,NA,NA,NA,NA,NA
63,"day 3 test 2","Card",18,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223010,"Sample",1,2.5,10,NA,NA,240223,"220223028.csv",367.22202,NA,614.9388,4905649.074,NA,NA,NA,NA,NA,NA,NA
64,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223011,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"day 3 test 3","Card",19,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223012,"Sample",1,2.5,10,NA,NA,240223,"220223014.csv",390.645,5430473.167,614.076,1375474.765,0.253288198,34.5279886526224,34.5279886526224,0.0345279886526224,0.0863199716315559,NA,NA
66,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223013,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"day 3 test 4","Paper",20,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223014,"Sample",1,2.5,10,NA,NA,240223,"220223016.csv",390.64302,5418706.44,390.64302,NA,NA,NA,NA,NA,NA,NA,NA
68,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223015,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"day 3 test 5","Paper",21,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223016,"Sample",1,2.5,10,NA,NA,240223,"220223018.csv",367.506,NA,615.5088,8002836.259,NA,NA,NA,NA,NA,NA,NA
70,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",240223017,"Blank",NA,NA,NA,NA,NA,240223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
